instance,00,10,11,12,13
i-111,49.0,17.8,22.7,20.0,20.0
i-112,90.6,112.3,115.1,101.5,101.5
i-113,297.5,194.1,281.2,271.0,271.0
i-114,339.1,339.0,336.7,749.3,336.7
i-11c1,52.7,21.5,28.6,23.3,23.3
i-11c2,106.3,103.1,91.0,139.7,91.0
i-11c3,150.7,266.2,163.3,123.3,123.3
i-11c4,272.6,274.5,617.4,259.2,259.2
i-141,43.2,10.1,18.0,19.2,18.0
i-142,41.6,34.8,30.2,39.4,30.2
i-143,77.3,81.3,72.4,83.0,72.4
i-144,210.7,211.9,253.7,227.1,227.1
i-14c1,34.6,14.6,28.2,16.6,16.6
i-14c2,30.4,24.4,28.8,35.9,28.8
i-14c3,64.6,80.4,71.2,101.2,71.2
i-14c4,120.6,122.0,96.1,127.5,96.1
i-171,125.7,41.4,35.4,30.1,30.1
i-172,366.5,292.3,190.2,210.4,190.2
i-173,631.0,435.8,619.0,1032.0,619.0
i-174,1922.5,1903.8,1493.5,1543.8,1493.5
i-17c1,85.2,21.8,22.9,27.9,22.9
i-17c2,311.8,137.8,171.9,246.3,171.9
i-17c3,437.6,633.8,461.7,888.2,461.7
i-17c4,1424.6,1415.1,1777.3,868.6,868.6
i-211,62.7,11.8,10.2,10.3,10.2
i-212,170.1,88.4,52.9,82.6,52.9
i-213,1421.4,644.9,645.9,564.4,564.4
i-214,2887.3,2588.7,2591.6,2348.5,2348.5
i-21c1,79.2,17.5,19.0,18.4,18.4
i-21c2,177.7,103.6,68.1,78.5,68.1
i-21c3,247.7,560.5,265.3,270.4,265.3
i-21c4,1212.6,1217.1,1022.0,833.4,833.4
i-241,43.1,13.3,8.9,11.0,8.9
i-242,54.5,21.3,26.3,32.4,26.3
i-243,33.6,28.6,28.7,31.5,28.7
i-244,29.9,32.9,32.9,36.8,32.9
i-24c1,25.5,12.5,11.9,13.0,11.9
i-24c2,32.5,19.5,17.0,16.2,16.2
i-24c3,41.9,29.4,36.8,26.6,26.6
i-24c4,108.5,107.7,55.4,71.7,55.4
i-271,35.5,3.1,3.1,2.3,2.3
i-272,222.4,23.8,20.1,18.3,18.3
i-273,479.8,806.2,1005.9,563.7,563.7
i-274,1875.3,1978.2,1984.4,1381.1,1381.1
i-27c1,40.2,1.9,2.0,1.8,1.8
i-27c2,329.8,28.4,22.9,21.7,21.7
i-27c3,916.7,640.5,525.2,381.3,381.3
i-27c4,3666.0,3670.7,2521.4,7592.0,2521.4
i-311,56.1,16.4,3.0,3.0,3.0
i-312,312.0,199.9,136.2,87.6,87.6
i-313,492.4,470.1,371.2,264.3,264.3
i-314,2133.1,1686.7,1784.6,5669.1,1784.6
i-31c1,83.4,32.4,31.0,20.9,20.9
i-31c2,245.7,206.7,275.9,241.8,241.8
i-31c3,550.8,453.3,569.1,525.0,525.0
i-31c4,1565.0,1434.0,1737.4,1840.9,1737.4
i-341,27.9,5.3,6.3,6.6,6.3
i-342,95.0,47.7,44.1,49.4,44.1
i-343,108.7,221.4,327.9,177.1,177.1
i-344,455.4,309.3,641.4,451.9,451.9
i-34c1,33.2,16.6,16.6,15.3,15.3
i-34c2,59.3,46.3,48.3,40.8,40.8
i-34c3,268.5,123.1,215.8,261.0,215.8
i-34c4,310.0,551.7,300.5,563.3,300.5
i-371,133.1,17.1,14.9,15.9,14.9
i-372,193.3,54.1,55.6,46.5,46.5
i-373,127.7,345.7,243.8,86.6,86.6
i-374,752.6,686.7,810.3,774.6,774.6
i-37c1,58.2,24.0,15.9,20.1,15.9
i-37c2,46.0,32.4,37.4,33.0,33.0
i-37c3,209.5,113.0,150.6,222.0,150.6
i-37c4,225.9,197.4,291.8,319.5,291.8
i-411,40.1,25.1,28.1,22.3,22.3
i-412,92.8,95.4,74.3,162.1,74.3
i-413,163.3,163.2,198.1,245.2,198.1
i-414,438.6,438.9,439.7,429.1,429.1
i-41c1,50.3,35.6,65.9,34.5,34.5
i-41c2,41.6,30.2,34.0,36.1,34.0
i-41c3,48.3,48.4,53.0,81.2,53.0
i-41c4,350.1,350.4,322.1,368.5,322.1
i-441,30.3,15.4,26.5,19.6,19.6
i-442,32.6,35.8,37.7,43.7,37.7
i-443,41.9,42.0,43.4,52.4,43.4
i-444,50.9,50.9,50.9,49.5,49.5
i-44c1,10.6,8.6,7.5,7.8,7.5
i-44c2,32.7,39.4,26.7,35.7,26.7
i-44c3,42.8,43.0,40.4,38.3,38.3
i-44c4,37.5,37.5,52.6,57.9,52.6
i-471,55.1,28.7,28.7,31.3,28.7
i-472,41.7,36.0,71.5,46.3,46.3
i-473,58.9,58.6,58.6,60.4,58.6
i-474,95.0,95.0,95.3,127.9,95.3
i-47c1,34.9,33.2,28.3,22.8,22.8
